population,bed,infected,region,prefecture,"population per 100,000 people"
5250,1981,367633,Hokkaido/Tohoku,Hokkaido,122.69
1246,227,59457,Hokkaido/Tohoku,Aomori,99.6
1227,350,36076,Hokkaido/Tohoku,Iwate,81.95
2306,350,89222,Hokkaido/Tohoku,Miyagi,76.15
966,230,31063,Hokkaido/Tohoku,Akita,49.4
1078,237,29136,Hokkaido/Tohoku,Yamagata,43.07
1846,513,64614,Hokkaido/Tohoku,Fukushima,47.62
2860,600,160766,Kanto,Ibaraki,54.34
1934,448,92064,Kanto,Tochigi,41.75
1942,459,95703,Kanto,Gunma,51.26
7350,1644,556215,Kanto,Saitama,57.02
6259,1361,453879,Kanto,Chiba,48.58
13921,5594,1557448,Kanto,Tokyo,88.2
9198,1790,761870,Kanto,Kanagawa,64.95
2223,555,73378,Chubu,Niigata,46.2
1044,500,38128,Chubu,Toyama,57.21
1138,435,57453,Chubu,Ishikawa,106.4
768,255,36524,Chubu,Fukui,128.18
811,305,33379,Chubu,Yamanashi,61.36
2049,490,75088,Chubu,Nagano,57.23
1987,783,103273,Chubu,Gifu,121.14
3644,582,173846,Chubu,Shizuoka,69.61
7552,1515,552444,Chubu,Aichi,94.73
1781,433,83877,Kinki,Mie,67.45
1414,374,92221,Kinki,Shiga,75.83
2583,498,206087,Kinki,Kyoto,86.54
8809,2680,986951,Kinki,Osaka,108.89
5466,1151,431356,Kinki,Hyogo,89.22
1330,443,92356,Kinki,Nara,71.27
925,470,42881,Kinki,Wakayama,63.63
556,323,15547,Chugoku,Tottori,52.22
674,324,17350,Chugoku,Shimane,45.89
1890,492,100796,Chugoku,Okayama,99.66
2804,704,161668,Chugoku,Hiroshima,118.58
1358,527,46418,Chugoku,Yamaguchi,92.77
728,234,22906,Shikoku,Tokushima,78.52
956,230,49260,Shikoku,Kagawa,88.08
1339,218,41131,Shikoku,Ehime,86.15
698,226,28471,Shikoku,Kochi,95.87
5104,1346,433271,Kyusyu/Okinawa,Fukuoka,112.01
815,365,53430,Kyusyu/Okinawa,Saga,97.48
1327,351,61118,Kyusyu/Okinawa,Nagasaki,136.63
1748,598,101453,Kyusyu/Okinawa,Kumamoto,131.28
1135,438,55610,Kyusyu/Okinawa,Oita,87.11
1073,285,54896,Kyusyu/Okinawa,Miyazaki,135.66
1602,419,86349,Kyusyu/Okinawa,Kagoshima,164.02
1453,610,226820,Kyusyu/Okinawa,Okinawa,594.62
