Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Global,,503131834,6454.926279508664,4979698,63.887000010849476,404271,6200571,79.55018146567788,16178,0.20755553573239235,1326,
United States of America,Americas,79896146,24137.615,241491,72.957,14564,981415,296.498,2920,0.882,19
India,South-East Asia,43045527,3119.231,8599,0.623,1247,521966,37.824,256,0.019,1
Brazil,Americas,30252618,14232.547,100216,47.147,2541,661960,311.424,702,0.33,22
France,Europe,27001702,41515.941,800664,1231.045,19810,140985,216.769,727,1.118,48
Germany,Europe,23459628,28207.955,618852,744.11,22483,132960,159.872,943,1.134,7
The United Kingdom,Europe,21747642,32035.531,88025,129.666,0,171396,252.476,396,0.583,0
Russian Federation,Europe,18092791,12397.888,73966,50.684,8640,373948,256.244,1703,1.167,235
Republic of Korea,Western Pacific,16471940,32128.344,836715,1632.004,118504,21354,41.651,1504,2.934,130
Italy,Europe,15730676,26375.392,409923,687.312,18588,161766,271.231,903,1.514,79
Turkey,Europe,14999479,17784.734,33612,39.853,4542,98587,116.894,150,0.178,19
Spain,Europe,11662214,24638.855,7451,15.742,0,103266,218.171,34,0.072,0
Viet Nam,Western Pacific,10475819,10762.248,225659,231.829,43272,42957,44.132,127,0.13,13
Argentina,Americas,9060923,20048.164,16986,37.583,0,128344,283.973,0,0,0
Netherlands,Europe,8015576,46046.456,20066,115.272,0,22156,127.278,55,0.316,0
Japan,Western Pacific,7402533,5852.894,329834,260.787,28282,29049,22.968,328,0.259,26
Iran (Islamic Republic of),Eastern Mediterranean,7208968,8582.825,14200,16.906,2009,140854,167.697,204,0.243,25
Colombia,Americas,6089662,11967.995,1628,3.2,122,139749,274.648,30,0.059,4
Indonesia,South-East Asia,6041269,2208.683,5911,2.161,837,155937,57.01,220,0.08,34
Poland,Europe,5985818,15769.525,5598,14.748,301,115838,305.173,142,0.374,0
Mexico,Americas,5727668,4442.368,1788,1.387,0,323944,251.25,18,0.014,0
Australia,Western Pacific,5225150,20490.878,306439,1201.727,27940,6786,26.612,217,0.851,9
Ukraine,Europe,4994246,11419.659,6961,15.917,1082,108268,247.562,101,0.231,12
Malaysia,Western Pacific,4396165,13582.664,62608,193.438,7140,35437,109.488,126,0.389,16
Austria,Europe,4108776,46160.504,66901,751.607,5658,16225,182.282,90,1.011,5
Thailand,South-East Asia,4063844,5822.128,137990,197.693,16891,27135,38.875,846,1.212,129
Israel,Europe,4036684,46636.992,27843,321.678,2717,10647,123.008,18,0.208,0
Belgium,Europe,3972963,34480.223,15211,132.012,0,31165,270.472,48,0.417,0
Czechia,Europe,3883280,36312.906,14759,138.013,880,39997,374.016,57,0.533,4
Portugal,Europe,3745569,36379.197,59207,575.054,3167,22088,214.532,144,1.399,13
South Africa,Africa,3742107,6309.542,9479,15.982,877,100181,168.915,83,0.14,34
Philippines,Western Pacific,3683211,3361.174,1565,1.428,170,59976,54.732,199,0.182,7
Canada,Americas,3614450,9576.692,32976,87.372,0,38207,101.232,140,0.371,0
Peru,Americas,3555739,10784.165,4199,12.735,600,212630,644.883,144,0.437,11
Switzerland,Europe,3551798,41039.339,8,0.092,0,13087,151.214,0,0,0
Chile,Americas,3531529,18474.011,17238,90.175,1271,57270,299.589,189,0.989,7
Greece,Europe,3242037,30246.931,61481,573.594,3868,28652,267.312,447,4.17,64
Denmark,Europe,3099836,53236.513,12877,221.149,1214,6008,103.181,87,1.494,11
Romania,Europe,2882590,14913.416,8715,45.088,686,65340,338.044,130,0.673,3
Sweden,Europe,2495996,24168.235,1975,19.124,0,18605,180.149,4,0.039,0
Iraq,Eastern Mediterranean,2323284,5776.082,1203,2.991,152,25198,62.647,12,0.03,0
Serbia,Europe,1996868,28828.541,6357,91.775,882,15933,230.023,43,0.621,6
Bangladesh,South-East Asia,1952362,1185.481,231,0.14,0,29126,17.685,2,0.001,0
Hungary,Europe,1884458,19289.145,10252,104.939,4978,45971,470.555,159,1.628,106
Slovakia,Europe,1765962,32356.231,11383,208.561,704,19773,362.284,155,2.84,14
Jordan,Eastern Mediterranean,1695432,16616.777,475,4.655,0,14059,137.791,4,0.039,0
Georgia,Europe,1653460,41448.67,1491,37.376,342,16794,420.989,15,0.376,1
Pakistan,Eastern Mediterranean,1527326,691.435,660,0.299,78,30364,13.746,3,0.001,1
Ireland,Europe,1498834,30191.401,5768,116.186,0,6932,139.633,48,0.967,0
Norway,Europe,1419727,26450.039,3296,61.406,92,2783,51.848,0,0,0
Kazakhstan,Europe,1394245,7425.397,152,0.81,12,19013,101.258,0,0,0
Morocco,Eastern Mediterranean,1164411,3154.683,359,0.973,30,16064,43.521,3,0.008,1
Singapore,Western Pacific,1162780,19875.419,22211,379.653,2480,1316,22.494,13,0.222,0
Bulgaria,Europe,1150342,16548.155,4063,58.448,895,36810,529.527,80,1.151,26
Croatia,Europe,1113547,27439.668,4399,108.399,30,15742,387.909,48,1.183,7
