x,y,r,color
420,430,12,pink
400,800,12,purple
260,270,18,lime
830,430,14,purple
580,500,22,green
750,280,12,red
40,480,16,yellow
380,530,10,yellow
240,610,12,purple
30,260,10,red
560,270,10,red
10,670,26,purple
540,320,10,blue
250,150,20,yellow
740,160,22,lime
290,980,18,cyan
400,330,26,cyan
130,260,28,purple
750,380,18,purple
410,50,20,yellow
700,110,22,green
220,800,14,lime
20,680,28,lime
340,350,26,yellow
490,30,12,cyan
160,850,20,red
480,800,14,blue
940,950,16,yellow
870,710,16,lime
20,890,24,pink
100,410,20,yellow
700,250,20,pink
460,730,14,cyan
530,880,28,lime
940,800,12,pink
900,670,20,purple
730,150,10,blue
550,800,28,green
360,550,22,lime
880,100,16,purple
